Country,Lat,Long,TotalCases,TotalDeaths,TotalRecovered
New York,42.93708038330078,-75.6106948852539,188694,9385,23887
New Jersey,40.13877868652344,-74.67691040039062,61850,2350,206
Massachusetts,42.156185150146484,-71.56619262695312,25475,756,4316
Michigan,44.86261749267578,-85.73513793945312,24638,1487,5
California,37.25510025024414,-119.61752319335938,23300,681,307
Pennsylvania,40.89651107788086,-77.83875274658203,22833,507,None
Illinois,40.11393737792969,-89.15876770019531,20852,720,2
Louisiana,30.966510772705078,-91.8519058227539,20595,840,None
Florida,28.49258041381836,-82.47222137451172,19918,533,None
Texas,31.46275520324707,-99.3330307006836,13484,271,2014
Georgia,32.64833068847656,-83.4445571899414,12550,442,None
Connecticut,41.57350158691406,-72.7383041381836,12035,554,None
Washington,47.41129684448242,-120.55626678466797,10411,508,None
Maryland,38.95252227783203,-76.70121765136719,8228,236,456
Indiana,39.919803619384766,-86.28179931640625,7928,343,None
Colorado,38.99854278564453,-105.54781341552734,7303,290,None
Ohio,40.41305160522461,-82.71121978759766,6604,253,None
Tennessee,35.84300231933594,-86.34304809570312,5308,101,1504
Virginia,37.512786865234375,-78.6980972290039,5274,141,None
North Carolina,35.53935241699219,-79.18537902832031,4520,81,None
Missouri,38.36796569824219,-92.4778823852539,4160,110,None
Alabama,32.766502380371094,-86.8403091430664,3583,93,None
Arizona,34.2930793762207,-111.6646957397461,3539,115,None
Wisconsin,44.64178466796875,-89.73674011230469,3341,144,None
South Carolina,33.90385437011719,-80.89376831054688,3319,82,None
Nevada,39.35641860961914,-116.65541076660156,2836,112,None
Mississippi,32.7218017578125,-89.65624237060547,2781,96,None
Rhode Island,41.488712310791016,-71.45431518554688,2665,63,None
Utah,39.32373809814453,-111.67823791503906,2498,18,None
Kentucky,37.5272331237793,-85.2876205444336,2001,97,339
Oklahoma,35.582698822021484,-97.50862121582031,1970,96,None
District of Columbia,38.90719223022461,-77.03687286376953,1875,50,493
Delaware,39.00812530517578,-75.46746826171875,1625,35,213
Minnesota,46.34935760498047,-94.19837188720703,1621,70,842
Iowa,42.07469940185547,-93.49996948242188,1587,41,674
Oregon,43.938812255859375,-120.55858612060547,1527,52,None
Idaho,44.389034271240234,-114.65941619873047,1426,27,None
Kansas,38.48472595214844,-98.38017272949219,1337,56,None
Arkansas,34.89992141723633,-92.4388656616211,1280,27,367
New Mexico,34.421321868896484,-106.10840606689453,1245,26,None
New Hampshire,43.68552780151367,-71.57759857177734,985,23,239
Nebraska,41.52727127075195,-99.81110382080078,814,17,None
South Dakota,44.43614959716797,-100.23050689697266,730,6,197
Vermont,44.07520294189453,-72.66268920898438,727,27,None
Maine,45.31528091430664,-69.20394897460938,633,19,266
West Virginia,38.64241409301758,-80.61361694335938,611,8,57
Hawaii,19.59851837158203,-155.5185546875,499,9,310
Montana,47.03348159790039,-109.64508056640625,387,6,169
North Dakota,47.44629669189453,-100.46942901611328,308,8,121
Alaska,63.17412185668945,-153.70428466796875,272,8,66
Wyoming,42.999576568603516,-107.55152130126953,270,None,138
Madrid,40.49482727050781,-3.715894937515259,47146,6423,25385
Catalonia,41.79674530029297,1.5317169427871704,34726,3538,15602
Castile-La Mancha,39.580989837646484,-3.004573106765747,14054,1626,2532
Castilla Leon,41.75121307373047,-4.7884111404418945,12628,1263,4154
Basque Country,43.04353332519531,-2.6168649196624756,11018,831,5026
Andalusia,37.45823669433594,-4.5681939125061035,10187,815,1967
Valencia,39.3904914855957,-0.5430160164833069,9060,876,2803
Galicia,42.75492858886719,-7.927159786224365,7494,284,1186
Aragon,41.51960754394531,-0.6598629951477051,4187,464,946
Navarre,42.667633056640625,-1.6474809646606445,4092,239,695
La Rioja,42.27473831176758,-2.517072916030884,3358,223,1458
Extremadura,39.19143295288086,-6.150780200958252,2658,321,511
Asturias,43.29231262207031,-5.993422031402588,1958,149,121
Cantabria,43.198394775390625,-4.0313920974731445,1777,117,317
Balearic Islands,39.621437072753906,2.957914113998413,1550,117,862
Murcia,37.99031066894531,-1.4740790128707886,1463,101,353
Melilla,35.29108810424805,-2.9503989219665527,101,3,18
Ceuta,35.89361572265625,-5.342888832092285,95,4,20
Canary Islands,28.290531158447266,-16.556758880615234,1944,96,458
Lombardy,45.62044143676758,9.768991470336914,57592,10511,16823
Emilia-Romagna,44.525909423828125,11.03934097290039,19635,2481,3659
Piedmont,45.06053161621094,7.923028945922852,16008,1633,2205
Veneto,45.64822769165039,11.855151176452637,13768,831,2188
Tuscany,43.45953369140625,11.135786056518555,6958,467,499
Liguria,44.45000076293945,8.766667366027832,5376,734,1309
Marches,43.34822463989258,13.137866020202637,5211,689,1086
Latium,41.980552673339844,12.766844749450684,4723,273,720
Campania,40.86027145385742,14.842540740966797,3517,238,277
Trentino,46.445560455322266,11.173060417175293,2970,284,622
